sense	pos	Concepticon_ID	Concepticon_Gloss
Ehemann	Noun, common, masculine	1200	HUSBAND
Vater	Foreign word	1217	FATHER
stark, heftig	Adjective	785	STRONG
sehr	Adverb, Comparative	1311	VERY
wieder	Adverb	204	AGAIN
letzter	Adjective, Comparative	1529	LAST (FINAL)
eng	Adjective	1267	NARROW
Sinn, Verstand	Noun, common, masculine	1562	MIND
Geist	Noun, common, masculine	53	SPIRIT
acht	Numeral, cardinal	1705	EIGHT
achtzig	Numeral, cardinal	1722	EIGHTY
Gemeinde, Kirche; Gotteshaus	Noun, common, feminine	1349	CHURCH
elf	Numeral, cardinal	1706	ELEVEN
Brief	Noun, common	1612	LETTER
Erde, Land	Noun, common, feminine	1228	EARTH (SOIL)
Mutter	Noun, common, feminine	1216	MOTHER
oder	Conjunction	1014	OR
Zeit, Ewigkeit	Noun, common, masculine	892	TIME
wachsen	Verb	479	GROW
Alter	Noun, common	1789	AGE
Öl	Noun, common, neuter	1484	OIL (ORGANIC SUBSTANCE)
anders	Adverb	2504	DIFFERENT
Schulter	Noun, common, masculine	1482	SHOULDER
plötzlich	Adverb, temporal	2920	SUDDENLY
Abend	Noun, common, neuter	1629	EVENING
das Empfangen	Noun, common, neuter	694	GET
Antlitz	Noun, common, neuter	1560	FACE
Preis	Noun, common, neuter	657	PRICE
Ende	Noun, common, masculine	743	END (OF TIME)
Gegenwart, Angesicht, Person	Noun, common, neuter	683	PERSON
Freude; Dank; Gnade, Gunst	Noun, common, feminine	2524	JOY
anderer, zweiter	Adjective	1384	SECOND
arbeiten; dulden	Verb	1086	WORK (ACTIVITY)
Arbeit, Drangsal	Noun, common, feminine	984	WORK (LABOUR)
Pfeil	Noun, common, feminine	977	ARROW
hölzerner Kasten, Arche; Futteral, Beutel	Noun, common, feminine	2951	POUCH
arm, beklagenswert	Adjective	1674	POOR
Arm	Noun, common, masculine	1673	ARM
Sommer	Noun, common, feminine	1342	SUMMER
Ast	Noun, common, masculine	1531	BRANCH
Jahr	Noun, common, neuter	1226	YEAR
Saat	Noun, common	714	SEED
Fenster	Noun, common, neuter	1375	WINDOW
zeigen	Verb	1039	SHOW
Auge	Noun, common, neuter	1248	EYE
Lärm	Noun, common, masculine	1182	NOISE
Ofen	Noun, common, masculine	859	STOVE
hinzufügen	Verb	2882	ADD
sich vermehren, zunehmen	Verb	1041	INCREASE
Ohr	Noun, common, neuter	1247	EAR
Großmutter	Noun, common, feminine	1496	GRANDMOTHER
Asche	Noun, common, feminine	646	ASH
Bett	Noun, common, neuter	1663	BED
Baum	Noun, common, masculine	906	TREE
tragen 	Verb	700	CARRY
bringen	Verb	692	BRING
hinaustragen; hervorbringen; vorbringen di antworten; ertragen	Verb	833	ENDURE
einen bergen, bewahren	Verb	1997	PRESERVE
hell, offenbar	Adjective	679	BRIGHT
bitter	Adjective	887	BITTER
Hals, Nacken	<none>	1333	NECK
Band, Fessel	Noun, common, feminine	2969	RIBBON
Zeichen	Noun, common, feminine	1720	SIGN
Schlag, Wunde	Noun, common, feminine	1109	WOUND
Nicht	Noun, common, masculine	1240	NOT
Busen, Schoß	Noun, common, masculine	1402	BREAST
Turm, Burg; Stadt	Noun, common, feminine	1391	TOWN
beißen	Verb	1403	BITE
Eltern	Noun, common, masculine	505	PARENTS
bitten, beten, betteln	Verb	1828	ASK (REQUEST)
binden	Verb	1917	TIE
Tisch	Noun, common, masculine	1775	TABLE
blind	Adjective	1653	BLIND
Blume	Noun, common, masculine	239	FLOWER
Blut	Noun, common, neuter	946	BLOOD
reiben, zerreiben	Verb	1449	RUB
Buchstabe	Noun, common, feminine	1024	CHARACTER
Nutzen	Noun, common, feminine	2929	BENEFIT
verbessern, herstellen	Verb	2886	PRODUCE
breit	Adjective	1243	WIDE
verbrennen	Verb	141	BURN (SOMETHING)
brechen; zerstören	Verb	681	DESTROY
zerbrechen	Verb	2558	BREAK (CLEAVE)
brennen	Verb	1428	BURNING
Fieber	Noun, common, feminine	1534	FEVER
Bruder	Noun, common, masculine	1262	BROTHER
Brunnen	Noun, common, masculine	954	WELL
Brust	Noun, common, feminine	1592	CHEST
kaufen	Verb	1869	BUY
Tag	Noun, common, masculine	1225	DAY (NOT NIGHT)
teilen, zuteilen, mitteilen	Verb	1119	DIVIDE
Teil	Noun, common, feminine	779	PART
Grube; Schlucht, Tal	Noun, common, masculine	2539	PIT (POTHOLE)
zu Tal, abwärts, nieder; auf die Erde	Adverb, directional	1326	DOWN
taub, verstockt	Adjective	996	DEAF
Tochter	Noun, common, feminine	1357	DAUGHTER
 Tor	Noun, common, neuter	2940	GATE
 Tor, Tür	Noun, common, feminine	1567	DOOR
töten	Verb	1417	KILL
sterben	Verb	1494	DIE
Tod	Noun, common, masculine	910	DEATH
treiben; plagen	Verb	2868	DRIVE (CATTLE)
trinken	Verb	1401	DRINK
fallen	Verb	1280	FALL
du	Adverb	1215	THOU
Schuld	Noun, common	134	FAULT
Fest	Noun, common, feminine	3003	SOLID
da	Particle	1937	THERE
Eisen	Noun, common, neuter	621	IRON
Abkunft, Geschlecht, Stamm	Noun, common, neuter	344	TREE TRUNK
geschickt, geeignet	Adjective	1824	DEXTEROUS
fangen, greifen	Verb	702	CATCH
zubereiten	Verb	1100	COOK (SOMETHING)
Berg	Noun, common, neuter	639	MOUNTAIN
Welt	Noun, common, masculine	965	WORLD
Schuld; Grund; Vorwurf	Noun, common, feminine	2968	REASON
fern	Adverb, locative	1406	FAR
Ferse	Noun, common, feminine	980	HEEL
wandern, ziehen	Verb	1455	PULL
fahren	Verb	741	DRIVE
halten, festhalten; beobachten, bewachen	Verb	1448	HOLD
Zaun	Noun, common, feminine	1690	FENCE
Fuchs	Noun, common, feminine	1312	FOX
vor	Adverb	1883	IN FRONT OF
Straße	Noun, common, neuter	667	ROAD
sich fürchten	Verb	1419	FEAR (BE AFRAID)
zuvor, früher	Adverb	1882	BEFORE
Seite, Gegend	Noun, common, feminine	2980	AREA
schmücken	Verb	1739	DECORATE
vier	Numeral, cardinal	1500	FOUR
Finger	Noun, common, masculine	1303	FINGER
Feind	Noun, common, masculine	1358	ENEMY
Höhle	<none>	1155	CAVE
verbergen	Verb	602	HIDE (CONCEAL)
Vielheit, Menge; Übermaß	Noun, common, feminine	2987	AMOUNT
fünf	Numeral, cardinal	493	FIVE
Fisch	Noun, common, masculine	227	FISH
prahlen	Verb	101	BOAST
Strom, Flut	Noun, common	666	RIVER
Nahrung	Noun, common, feminine	256	FOOD
Feuer	Noun, common, neuter	221	FIRE
Fuß	Noun, common, masculine	1301	FOOT
fragen	Verb	1309	ASK (INQUIRE)
versuchen	Verb	1812	TRY
Verderben	Noun, common, feminine	92	SPOIL (SOMEBODY OR SOMETHING)
fremd; einer Sache	Adjective	109	FOREIGN
denken	Verb	1415	THINK (REFLECT)
Sünde	Noun, common, feminine	2971	SIN
Liebe	Noun, common, feminine	923	LOVE
Freund	Noun, common, masculine	1325	FRIEND
Frost	Noun, common	2034	FROST
klug, verständig	Adjective	1310	CLEVER
zuerst	Adverb, temporal	2915	AT FIRST
Vogel	Noun, common, masculine	937	BIRD
Füllen	Noun, common, masculine	2006	FILL
faul	Adjective	1564	LAZY
Reichtum	Noun, common, feminine	2996	WEALTH
Kleidung	Noun, common, feminine	1895	CLOTHES
Weg, Straße	Noun, common, neuter	2252	PATH
gehen	Verb	1443	WALK
kommen	Verb	1446	COME
Gesinnung; Sinn; Gewissen	Noun, common, feminine	2950	MEANING
Gürtel	Noun, common, feminine	772	BELT
Verlangen, Wunsch	Noun, common, feminine	2117	DESIRE
wertvoll	Adjective	3002	PRECIOUS
Pfahl, Kreuz	Noun, common, masculine	1367	CROSS
Gedächtnis, Erinnerung	Noun, common, neuter	1018	MEMORY
Gedanke	Noun, common, feminine	2975	THOUGHT
Haus, Hauswesen, Familie	Noun, common, masculine	1252	HOUSE
betrübt, traurig	Adjective	699	SAD
Gespräch	Noun, common, neuter	2933	CONVERSATION
Geschäft; Erwerb; Gewinn	Noun, common, neuter	2931	BUSINESS
Gabe, Geschenk	Noun, common, feminine	2982	GIFT
geben	Verb	1447	GIVE
vergeben, verleihn, schenken	Verb	196	DONATE
erstatten, bezahlen	Verb	718	PAY
morgen	Adverb, temporal	1329	TOMORROW
finden	Verb	719	FIND
gut	Adjective	1035	GOOD
Graben	Noun, common, feminine	1418	DIG
Gras, Kraut	Noun, common, neuter	606	GRASS
hungrig	Adjective	1533	BE HUNGRY
